2856	214	9884
10383	342	3153
1108	412	3484
5513	0	225
2184	82	5068
3180	434	7712
9072	166	14519
3556	406	173
13600	90	4880
2102	370	2596
7761	2	296
710	356	97
3994	158	13807
5968	380	9873
1917	258	3872
1396	90	10199
7765	224	8384
11445	166	3922
8358	146	7765
11408	90	13365
12167	406	878
9348	98	364
6519	152	2996
12505	196	3560
5915	302	2159
34	4	6956
2716	302	13763
1386	272	12236
4631	380	9873
11420	124	9688
10439	34	7765
11775	98	2535
10514	36	3308
5522	44	10538
9966	454	11896
2826	380	5588
13063	406	7443
12097	402	7765
5501	166	1293
13505	308	3694
6670	64	11844
4159	402	7765
14468	90	10887
6684	196	13278
4137	294	5186
9602	0	11087
10228	244	1238
3173	204	13146
12056	308	599
10665	326	13146
10026	398	4641
9426	14	3569
9980	120	5062
5502	384	1441
574	166	3575
7262	266	9794
6658	0	12312
9486	166	827
5938	36	3308
160	64	7123
12085	90	8857
1386	272	6943
14497	82	13341
14337	402	2678
8794	36	3308
10433	230	1263
55	468	4536
2917	386	10909
3175	272	6485
7303	356	97
4059	98	10761
12526	0	8222
8984	36	3308
2652	294	819
11089	36	3308
7951	370	3891
10372	298	8046
12195	428	11543
14282	432	13689
6686	294	8803
12420	356	97
4326	34	3825
3033	154	11485
1871	246	13361
14035	380	7765
7640	36	3308
6861	380	5636
181	258	4921
2112	42	5636
10929	294	6815
1189	400	8604
13890	166	181
11434	272	535
8404	428	2791
7764	28	13227
12977	294	3434
13576	304	4921
4277	90	2744
1990	196	5671
13400	402	5286
1839	44	5606
14472	222	4420
11212	394	12796
6586	64	4816
12081	116	3214
8448	342	2214
7463	416	5381
3530	406	9347
9876	468	7951
779	222	7134
443	380	6448
5565	166	8381
1313	412	2812
634	458	634
8351	124	4040
1413	236	218
440	386	12149
1069	98	12545
8106	366	11569
7466	384	9052
14147	40	4677
2080	388	13146
972	58	8811
9402	118	5287
3917	384	5639
5578	384	10545
4153	98	12545
1023	2	10731
10481	380	2953
3642	252	13492
12178	434	7712
11212	384	1813
13036	406	5505
10133	98	11940
10850	392	10028
2885	32	2190
1695	332	10868
9197	356	97
9352	384	13564
9146	90	13713
7175	90	5304
12478	294	1108
13714	138	3058
5233	196	13528
13325	166	8052
13963	302	9029
8304	90	664
9735	244	10215
10010	406	3105
9420	472	2866
2888	80	41
13699	258	3368
12076	158	3801
13582	90	556
11872	432	581
6577	196	2135
6297	140	13453
12023	36	3308
668	166	444
13406	294	6815
9947	380	2687
2796	410	7321
9963	402	7765
3602	384	12427
599	186	11819
10556	304	3872
8494	160	6662
4301	248	8219
14496	90	3912
551	380	12354
12971	380	5588
682	206	608
5538	196	9919
7910	166	6849
5322	90	13916
7337	322	13840
1768	318	10953
14299	0	1963
11966	224	8104
6780	196	8027
9515	32	4154
13324	256	5330
3331	196	5573
13549	196	7123
6818	332	7541
302	406	90
7324	372	2147
9541	44	116
3876	148	6562
702	454	12010
11417	302	11640
3006	4	13242
9067	34	994
8402	122	8402
10698	302	8399
4511	406	1984
2723	454	7865
3054	90	11449
2777	274	4446
7329	342	6428
1450	90	1986
6788	302	7034
5272	64	5048
8668	88	9960
1499	380	7765
10991	302	11025
13410	406	6256
6816	90	5994
107	402	11949
12343	298	7216
12134	90	14069
12874	210	14188
9515	32	6743
1019	42	7765
5048	406	7786
12452	98	8628
9724	90	9066
4347	196	2703
5652	82	3551
5968	380	13453
3309	342	9797
2663	406	9383
9526	332	1412
6707	246	868
3407	90	8943
10619	244	2762
6768	318	9265
1227	166	12420
9249	272	9026
1956	166	275
7818	118	12775
1529	224	4088
14504	428	8832
9160	166	14082
8581	196	11844
3530	406	7530
4253	90	11973
320	98	3652
2140	448	5047
1750	246	5237
4536	206	3627
14106	294	5095
4345	276	10326
8000	246	8047
7765	232	12862
13969	122	13969
7885	472	11384
1742	356	97
8332	80	4189
12651	166	4818
4798	42	11949
4784	406	9351
13254	258	4921
3468	406	8190
1131	196	2461
10834	298	8046
7463	416	1132
5153	302	9499
3990	294	6972
10955	2	9681
4871	294	4795
6553	392	13280
9287	380	7312
12939	244	3484
9210	36	3308
10425	26	3239
4204	206	1136
4416	276	11948
3105	64	3360
14186	442	1087
3071	44	116
7084	342	4728
3	334	2017
11718	0	183
2508	296	3712
6420	380	5330
14308	380	5286
12000	90	11916
14011	406	11886
6254	36	3308
3514	406	7457
7951	386	12918
4731	34	994
9505	336	14319
8021	42	11949
6685	322	13770
9659	294	1108
2948	78	1665
11200	98	2196
11199	384	11876
7983	182	12386
8808	76	2367
3206	380	599
8757	298	8046
9991	384	6057
5618	308	2856
4292	384	5516
5526	302	7060
2638	224	2599
7880	402	7765
5964	434	13341
5110	298	8046
3386	246	3438
8658	36	3308
11849	266	1319
7374	446	5763
12372	406	13416
781	406	11100
5761	0	13647
9084	196	7614
6567	378	10974
14401	210	11894
12943	234	8629
10991	302	2522
4735	196	113
4123	14	7676
6047	384	10443
6233	432	7376
2874	54	11255
5309	412	3823
1103	336	14313
1826	158	8514
9764	2	9681
10816	402	7765
7458	166	384
