57	20	5
91	36	18
98	46	55
73	10	84
99	26	70
6	30	41
29	26	97
58	10	44
92	4	87
4	10	103
44	30	8
35	12	87
5	4	68
77	10	89
32	30	52
47	20	48
54	10	43
85	12	4
9	0	87
42	10	61
76	6	64
33	0	17
54	42	103
4	8	86
35	8	91
58	46	46
36	10	79
48	4	39
57	6	52
56	0	65
21	42	9
24	8	27
70	10	19
69	8	37
77	2	101
95	30	36
51	30	18
36	22	97
57	10	33
21	4	3
9	10	57
13	8	97
64	30	87
4	42	61
42	40	73
66	22	13
25	46	61
33	42	20
13	8	65
101	46	43
2	10	58
101	16	1
95	2	59
37	26	70
64	36	36
30	22	70
28	0	2
103	42	66
54	40	85
65	6	63
89	26	51
1	24	84
101	8	35
99	22	101
66	46	44
61	28	103
97	12	19
56	46	43
95	8	5
84	4	100
2	42	89
58	10	82
81	30	26
4	4	55
2	12	68
2	42	70
95	10	51
20	30	28
3	40	82
95	26	20
36	10	31
59	2	29
86	42	95
92	46	47
37	2	51
102	30	87
49	4	76
50	10	7
49	8	27
19	30	78
33	46	43
45	12	87
103	30	78
79	6	70
26	46	59
48	8	89
40	22	53
94	8	79
43	4	67
44	2	95
36	12	33
68	42	22
84	22	10
15	16	72
85	30	19
28	30	98
20	22	51
64	0	0
13	24	50
21	10	85
39	46	20
65	10	75
67	30	26
77	26	46
71	46	25
59	8	16
91	36	0
80	2	96
103	42	99
54	4	66
103	16	31
87	36	38
69	42	35
34	8	25
51	10	2
75	8	70
20	34	2
52	6	49
55	6	71
90	46	94
86	20	28
70	32	37
45	42	51
72	0	7
61	10	51
77	24	2
3	6	93
16	12	37
91	12	41
68	34	35
102	26	74
81	46	3
63	16	88
3	10	102
11	8	103
103	2	32
86	20	48
12	46	1
101	46	40
44	26	92
98	46	85
38	12	24
79	6	80
89	12	78
45	8	3
12	2	10
10	40	39
8	42	35
46	8	14
51	12	12
77	10	22
52	42	76
97	46	44
0	10	8
70	22	29
32	2	13
46	10	10
32	16	0
66	30	79
47	0	27
17	30	88
79	32	98
98	48	91
42	32	48
11	30	78
58	42	35
50	10	37
29	8	15
89	26	63
97	30	76
90	36	68
25	46	5
67	38	6
47	26	42
77	42	26
46	10	7
20	30	48
91	16	31
36	0	87
61	26	45
8	12	26
55	30	87
91	10	96
47	8	89
74	4	54
46	4	18
43	10	20
66	40	55
49	10	33
73	38	5
61	10	16
58	6	97
59	22	85
49	42	23
45	0	58
36	34	102
55	42	30
31	16	72
8	4	66
51	42	98
45	16	1
11	34	38
14	34	20
18	2	31
72	4	19
98	22	74
103	16	1
50	8	49
37	42	103
2	8	38
91	36	76
72	34	50
22	2	47
37	26	53
17	10	6
103	2	101
33	42	21
69	16	39
12	2	74
24	42	80
73	38	40
